ORGANIZACION,Comentario,Comentario Sin tratar,Etiqueta,Analyzer
volkswagen mexico,jefa directa nunca fomento trabajos relacionados carrera solo ayude aligerar carga administrativa trabajo,"mi jefa directa nunca me fomento trabajos relacionados con mi carrera 
solo le ayude a aligerar su carga administrativa de trabajo 
",negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.516, NEG: 0.468, POS: 0.016})"
sat puebla,encargada accesible horarios universidad servicio social etc brindo toda capacitacion realizar practicas,mi encargada fue muy accesible con mis horarios de la universidad servicio social etc y me brindo toda la capacitacion para realizar mis practicas,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.850, POS: 0.121, NEG: 0.029})"
castellanos abogados fiscalistas,buenas practicas campo aprendizaje,muy buenas practicas con campo de aprendizaje,positive,"AnalyzerOutput(output=POS, probas={POS: 0.904, NEU: 0.091, NEG: 0.005})"
poder judicial de la federacion,mejor lugar mejorar capacitacion profesional abogado,el mejor lugar para mejorar mi capacitacion profesional como abogado ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.495, NEU: 0.491, NEG: 0.013})"
despacho esparragoza ramirez y asociados,apendi bastante derecho fiscal administrativo parece buena organizacion recomendaria ampliamente,apendi bastante de derecho fiscal y administrativo me parece una buena organizacion y la recomendaria ampliamente,positive,"AnalyzerOutput(output=POS, probas={POS: 0.783, NEU: 0.208, NEG: 0.009})"
consejeria juridica del ejecutivo del estado de puebla,aprendi espacio oportunidad realizar practicas profesion puse practica teoria adquirida largo carrera experiencia satisfactoria,aprendi mucho en el espacio en donde tuve la oportunidad de realizar practicas en la profesion puse en practica la teoria adquirida a lo largo de mi carrera fue una experiencia satisfactoria ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.540, NEU: 0.444, NEG: 0.016})"
dif municipal de san pedro cholula,ningun comentario sugerencia total agrado,no tengo ningun comentario ni sugerencia ya que todo fue de mi total agrado ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.662, NEG: 0.309, POS: 0.028})"
corporativo ceoc,gusto oportunidad aprender muchas cosas nuevas relacion carrera ramas derecho tratar interesantes jefe comprensivo poca experiencia campo laboral embargo abogadas engardas siempre mostraron buenos tratos paciencia hacia,me gusto que tuve la oportunidad de aprender muchas cosas nuevas con relacion a mi carrera las ramas de derecho a tratar fueron interesantes y mi jefe fue muy comprensivo con mi poca experiencia en el campo laboral sin embargo las otras abogadas engardas no siempre mostraron buenos tratos ni paciencia hacia mi ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.697, NEU: 0.287, NEG: 0.016})"
poder judicial del estado de puebla,depende area asignen,depende mucho del area a la cual te asignen ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.876, POS: 0.075, NEG: 0.050})"
tsystems,excelente organizacion desarrollar ambito profesional embargo lastima buscarlo lado departamento deficiente area vinculacion,fue una excelente organizacion para desarrollar el ambito profesional sin embargo es una lastima que tuviera que buscarlo por mi lado ya que el departamento fue deficiente en el area de vinculacion ,positive,"AnalyzerOutput(output=NEG, probas={NEG: 0.902, NEU: 0.081, POS: 0.017})"
notaria no  de puebla,buena organizacion hacer practicas todas personas trabajan ahi siempre ensenan titular notaria igualmente preocupada practicantes ensena igual,muy buena organizacion para hacer practicas todas las personas que trabajan ahi siempre te ensenan algo y la titular de la notaria igualmente preocupada por los practicantes y te ensena ella igual,positive,"AnalyzerOutput(output=POS, probas={POS: 0.676, NEU: 0.312, NEG: 0.013})"
sat puebla,personas sat trataron excelente habia excelente ambiente trabajo cada duda resolvieron,las personas en el sat me trataron excelente habia un excelente ambiente de trabajo y cada duda que tuve me la resolvieron ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.949, NEU: 0.045, NEG: 0.006})"
juridico empresarial moreno viveros,contenta aprendi muchas cosas nuevas relacionadas carrera,estuve muy contenta y aprendi muchas cosas nuevas relacionadas con mi carrera ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.943, NEU: 0.053, NEG: 0.004})"
h ayuntamiento de san andres cholula,parte sindicatura unidad gestoria mas actividades,como parte de la sindicatura en la unidad de gestoria tienes mas actividades ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.803, POS: 0.140, NEG: 0.058})"
ludicultura,grata estancia dentro organizacion pude aplicar conocimientos adquiri largo carrera ademas aprender nuevas cosas seran utilidad vida profesional,fue muy grata mi estancia dentro de la organizacion pude aplicar los conocimientos que adquiri a lo largo de mi carrera ademas de aprender nuevas cosas que me seran de utilidad en mi vida profesional,positive,"AnalyzerOutput(output=POS, probas={POS: 0.950, NEU: 0.046, NEG: 0.004})"
calpulli de los ninos,gusto trabajar equipo embargo costo trabajo encontrarle estructura organizacion proyecto considero factores determino coordinadora proyecto pesar ser gran persona involucrada proyectos dificulta estructura proyecto,me gusto mucho trabajar con el equipo sin embargo me costo trabajo encontrarle estructura y organizacion al proyecto considero que uno de los factores que determino esto fue que la coordinadora del proyecto a pesar de ser una gran persona esta involucrada en otros y muchos proyectos lo cual dificulta la estructura del proyecto ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.534, NEG: 0.418, POS: 0.048})"
dif municipal de san andres cholula,gusto colaborar organizacion valoran trabajo estancia area trabajo,me gusto mucho colaborar con la organizacion valoran mucho tu trabajo y tu estancia en el area de trabajo,positive,"AnalyzerOutput(output=POS, probas={POS: 0.632, NEU: 0.359, NEG: 0.010})"
instituto interactivo alfred binet,agreguen mas empresas,que agreguen mas empresas ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.786, POS: 0.136, NEG: 0.078})"
fundacion annur,escenario maravilloso club gran personal trabajando aprendi muchisimo mas esperaba expectativas revasaron realidad contenta ello,"el escenario fue maravilloso
el club tiene a un gran personal trabajando para ellos aprendi muchisimo mas de lo  que esperaba mis expectativas revasaron a la realidad estoy muy contenta con ello",positive,"AnalyzerOutput(output=POS, probas={POS: 0.967, NEU: 0.030, NEG: 0.003})"
fundacion annur,aprende personas amables ambiente agradable,se aprende mucho son personas amables y el ambiente es agradable,positive,"AnalyzerOutput(output=POS, probas={POS: 0.917, NEU: 0.078, NEG: 0.005})"
dif municipal de san andres cholula,area general psicologia buena,el area general de psicologia no es buena,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.504, POS: 0.484, NEG: 0.012})"
dif municipal de san andres cholula,equilibren mejor manera numero pacientes cada psicologo,"que equilibren de mejor manera el numero de pacientes a cada psicologo
",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.849, POS: 0.092, NEG: 0.059})"
hospital puebla,tenian proyecto especifico psicologia,no tenian un proyecto especifico para psicologia ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.891, NEG: 0.075, POS: 0.034})"
fundacion ronald mcdonald,supuso reto personal tener plan concreto trabajo organizacion practicas psicologia gracias ello apoyo desarrolle autonomia desarrollo implementacion programas actividades profesional estudiante siguiendo plan trabajo,me supuso un reto personal no tener un plan concreto de trabajo por la organizacion para practicas en psicologia pero gracias a ello y su apoyo desarrolle mi autonomia en el desarrollo e implementacion de programas y actividades como profesional y no como estudiante siguiendo un plan de trabajo,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.634, POS: 0.342, NEG: 0.024})"
centro de especializacion y atencion psicologica ceap,buen lugar aprendes capacitan,es un buen lugar donde aprendes y te capacitan,positive,"AnalyzerOutput(output=POS, probas={POS: 0.954, NEU: 0.040, NEG: 0.005})"
h ayuntamiento del estado de puebla,ambiente trabajo bueno jefes companeros apoyaron facilitaban actividades centro,el ambiente de trabajo es muy bueno mis jefes y companeros me apoyaron mucho y facilitaban mis actividades en el centro,positive,"AnalyzerOutput(output=POS, probas={POS: 0.897, NEU: 0.098, NEG: 0.005})"
colegio americano,duda colegio americano sido partes mas importantes tiempo universidad largo cuatro anos tomado clases maestros cumplen expectativas nivel educacion dejado insatisfecha practicas maravilloso cambio ofreciendome mas aprendizajes adquirido semestres permitieron primera vez poner practica aprendiendo abrio ojos hacia mundo real ayudando prepararme vida despues graduacion colegio americano siempre atento necesidades empleados practicantes dispuestos proporcionar asistencia tambien solo hacen pide sino van mas alla cumplir forma satisfactoria brindando mejores resultados consejeria equipada mejores materiales consejeros extremadamente competentes preparados departamento primaria sobresale constantemente demostrando cumplen espera mas ambiente permitio adquiriera nuevos aprendizajes dias momento empece hicieron sentir bienvenida parte comunidad,sin duda el colegio americano ha sido de las partes mas importantes de mi tiempo en la universidad a lo largo de mis cuatro anos he tomado clases con maestros que no cumplen con mis expectativas y un nivel de educacion que me ha dejado muy insatisfecha mis practicas fueron un maravilloso cambio ofreciendome mas aprendizajes de los que he adquirido en  semestres y me permitieron por primera vez poner en practica lo que he estado aprendiendo me abrio los ojos hacia el mundo real ayudando a prepararme para mi vida despues de mi graduacion el colegio americano siempre esta atento a las necesidades de su empleados y practicantes y dispuestos a proporcionar asistencia tambien no solo hacen lo que se les pide sino que van mas alla para cumplir de forma satisfactoria brindando los mejores resultados su consejeria esta equipada con los mejores materiales y consejeros extremadamente competentes y preparados el departamento de primaria sobresale constantemente demostrando que cumplen con lo que se espera de ellos y mucho mas el ambiente permitio que adquiriera nuevos aprendizajes todos los dias y desde el momento que empece me hicieron sentir bienvenida y como parte de la comunidad ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.621, NEU: 0.358, NEG: 0.021})"
casa del sol,si aprendes parte psicologa ahi sabe acerca varios temas entonces investigar parte informarte si aprendi muchisimo parte esfuerzo unico enseno aplicar pruebas calificarlas,si aprendes es por tu parte ya que la psicologa que esta ahi no sabe mucho acerca de varios temas entonces tienes que investigar todo por tu parte e informarte si aprendi muchisimo fue por mi parte y mi esfuerzo lo unico que me enseno fue el aplicar pruebas y calificarlas,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.528, POS: 0.450, NEG: 0.022})"
casa del sol,informar reglas principio dar lista actividades va realizar cumplan mas apertura hacia practicantes gustaba participaramos tomaban serio,informar las reglas desde el principio dar una lista de actividades que se va a realizar y que la cumplan mas apertura hacia las practicantes ya que no les gustaba que participaramos no nos tomaban en serio ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.860, NEG: 0.079, POS: 0.061})"
instituto interactivo alfred binet,buena organizacion apoyan personal amable,es una muy buena organizacion te apoyan mucho y el personal es muy amable,positive,"AnalyzerOutput(output=POS, probas={POS: 0.961, NEU: 0.035, NEG: 0.003})"
consultoria quan kiu,practicas aprendi relevante ayudara profesionalmente futuro actividades realice prepararon suficiente ambiente excelente lamentablemente actividades realice preparacion profesional gustado,durante mis practicas no aprendi algo relevante que me ayudara profesionalmente en un futuro las actividades que realice no me prepararon suficiente el ambiente es excelente pero lamentablemente las actividades que realice no fueron para una preparacion profesional como me hubiera gustado ,negative,"AnalyzerOutput(output=POS, probas={POS: 0.705, NEU: 0.287, NEG: 0.009})"
casa de salud,creo area psicologia buena embargo parte organizacional encuentra problemas constantes cambios reglamentos propician clima trabajo hostil dificulta actividades realizadas dentro clinica si bien experiencia mala varias experiencias dejan insatisfecha manera profesional creo organizacion deberia tomar mas seriedad practicantes,creo que el area de psicologia es buena sin embargo la parte organizacional se encuentra en problemas por constantes cambios de reglamentos sin sentido que propician un clima de trabajo hostil y dificulta las actividades realizadas dentro de la clinica si bien mi experiencia no fue mala tuve varias experiencias que me dejan insatisfecha de manera profesional creo que la organizacion deberia tomar con mas seriedad a sus practicantes,neutral,"AnalyzerOutput(output=NEG, probas={NEG: 0.899, NEU: 0.095, POS: 0.006})"
capital psicologico mexicano,agrado hacer aqui practicas asesor siempre pendiente exigirme,"me agrado hacer aqui mis practicas mi asesor siempre estuvo pendiente sin sobre exigirme

",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.616, POS: 0.362, NEG: 0.022})"
volkswagen mexico,,nada,positive,"AnalyzerOutput(output=POS, probas={POS: 0.498, NEU: 0.289, NEG: 0.213})"
colegio humbolt,organizacion bonita dejan mezclarte fondo ambiente parece bastante valioso,es una organizacion bonita porque te dejan mezclarte a fondo en su ambiente y eso me parece bastante valioso,positive,"AnalyzerOutput(output=POS, probas={POS: 0.970, NEU: 0.026, NEG: 0.004})"
casa de salud,area clinica ser rehabilitacion adicciones puede proporcionar buenas oportunidades aprendizaje psicologos abiertos ensenar responder todas dudas amigables respetuosos lado coordinador area psicologia edward fisher egresado udlap causo muchas ocasiones sentirme incomoda comentarios acciones hacia lugar totalmente profesionales punto llorar querer regresar realmente voy gran disgusto impotencia enojo primera experiencia laboral solo inicio comenzo siguientes comentarios acciones aumentando nivel cada vez mas vez agarro muneca permiso hizo constantemente quedaba viendo fijamente cara preguntandome cada facciones multiples veces hizo varias veces recibi comentario hacia practicas trabajaba si modos casare mantendran terminare ama casa lavando ropa multiples veces veia ponia mano cara diciendome besara semanalmente recibi comentarios parte criticando granos cara asigno proyecto hacer carpeta paciente dijo habia hecho practicante anterior igual udlap refirio nina chichona haciendo enfasis tamano brazos pecho vez comente disfrazaria avatar halloween respondio si iba andar ahi traje bano casi siempre recibi comentarios floja huevona incluso hacia actividades decia solo algun psicologo aproximadamente mes fecha salida comenzo preguntar meter presion tenia apurar horas terminar comence darme cuenta agradaba ahi luego asignaba actividades minutos empezar llegaba apuraba diciendome tarde hace dos minutos literal apenas habia asignado aumentaron comentarios floja huevona casi diario hacia senas pasaba manos dando referencia floja aun haciendo pedia metia presion tenia apurar igualmente regano calificando unas pruebas psicologo habia pedido cosa dentro actividades clinica regano diciendome pedia tenia hacerlo preguntadome si coordinador si da ordenes si pondra calificacion responder cada si demas urgia hicieran mismo si trabaje haria caso companero pagara suelto pondra calificacion puede descontar jamas vi correcto reganara hacer actividades si correspondian mismo asigno inicio posteriormente termine prueba habia pedido aplicar solo preguntaba si habia divertido si gusto prueba forzosamente conteste si solo respondio importante ahi divirtiera totalmente cinico parte decirme despues reganos comentarios insultantes diarios ultimas dos semanas dia sentado escritorio practicantes cajon asignado escritorio entonces agache sacar cosas momento puso mano cabeza quede pasmada habla jamas habia hecho sentir alguien tan incomoda mal aun pienso repudio impotencia igualmente apenas semana pasada psicologa iba trabajar pidio esperarla encontraba fisher lado entonces psicologa senalo dedo haciendo sonido tshhhh dijo sit rio igual manera hace perro cada situaciones hicieron sentir incomoda impotente saber hacer decir coraje intentos vagos quererme defender facil decir encuentres situacion disgusto defenderas realmente nunca habia vivido ahora quedarme palabras totalmente estupefacta situaciones predomino realmente deseo espero estudiante viva mientras coordinador siempre habra peligro abuso mas si mujer primera vez quejan organizacion multiples testimonios abuso comentar psicologos clinica hizo enterarme sido primera sere ultima estudiante nadie prepara enfrentar tipo situaciones nadie merece vivirlas favor hagan respecto,"el area de clinica ser la cual es la de rehabilitacion de adicciones puede proporcionar buenas oportunidades de aprendizaje por que los psicologos son muy abiertos a ensenar responder todas tus dudas y sobre todo amigables y respetuosos por otro lado el coordinador del area de psicologia edward fisher egresado de la udlap causo en muchas ocasiones sentirme incomoda por sus comentarios y acciones hacia mi fuera de lugar y totalmente no profesionales hasta el punto de llorar y no querer regresar realmente me voy con un gran disgusto de impotencia y enojo de esta mi primera experiencia laboral solo por el ya que desde un inicio comenzo con los siguientes comentarios y acciones que fueron aumentando de nivel cada vez mas 
 una vez agarro mi muneca sin mi permiso y ni se para que lo hizo 
 constantemente me quedaba viendo fijamente a mi cara preguntandome sobre cada una de mis facciones y fueron multiples las veces que lo hizo 
 varias veces recibi el comentario sobre por que hacia mis practicas o trabajaba si de todos modos yo me casare y me mantendran o que terminare como ama de casa lavando ropa 
multiples veces cuando me veia ponia su mano en mi cara diciendome que la besara 
 semanalmente recibi comentarios de su parte criticando los granos de mi cara 
 cuando me asigno el proyecto de hacer una carpeta para los paciente me dijo que ya lo habia hecho la practicante anterior que igual es de la udlap la cual se refirio a ella como una nina chichona haciendo enfasis del tamano con sus brazos en su pecho 
 una vez comente que me disfrazaria de avatar en halloween y el me respondio que si iba a andar ahi en traje de bano 
 casi siempre recibi comentarios de que era una floja o huevona incluso cuando hacia las actividades que el me decia o solo por estar con algun otro psicologo 
 aproximadamente desde un mes antes a mi fecha de salida comenzo a preguntar y a meter presion que me tenia que apurar ya con mis horas para terminar fue cuando comence a darme cuenta que ya no le agradaba que estuviera ahi ya que luego me asignaba actividades en donde a los minutos de empezar llegaba y me apuraba diciendome que ya tarde mucho o que eso se hace en dos minutos cuando literal apenas me lo habia asignado fue cuando aumentaron los comentarios de que era una floja o huevona casi diario o me hacia senas cuando pasaba con sus manos dando referencia a que era floja aun haciendo lo que el me pedia y me metia presion que me tenia que apurar igualmente me regano por estar calificando unas pruebas que otro psicologo me habia pedido cosa que esta dentro de mis actividades en la clinica y el me regano diciendome que cuando el me pedia algo tenia que hacerlo preguntadome que si quien era mi coordinador que si quien da las ordenes y que si quien pondra mi calificacion en donde yo tuve que responder que el en cada una y si a los demas les urgia que lo hicieran ellos mismo que si cuando yo trabaje a quien le haria caso a un companero o a quien me pagara el suelto a quien me pondra mi calificacion o a quien me puede descontar 
jamas vi correcto que me reganara por hacer actividades que si me correspondian y que el mismo me asigno desde un inicio posteriormente ya que termine con la prueba que me habia pedido aplicar solo me preguntaba que si me habia divertido o si me gusto la prueba forzosamente conteste que si y el solo me respondio que lo importante ahi era que yo me divirtiera fue algo totalmente cinico de su parte decirme eso despues de sus reganos y comentarios insultantes diarios
 ya para las ultimas dos semanas una dia el estaba sentado en su escritorio y los practicantes tenemos un cajon asignado en ese escritorio entonces yo me agache para sacar mis cosas y en ese momento el puso su mano sobre mi cabeza me quede pasmada y sin habla jamas me habia hecho sentir alguien tan incomoda y mal aun lo pienso con mucho repudio e impotencia 
igualmente apenas la semana pasada la psicologa con quien iba a trabajar me pidio esperarla en donde me encontraba y fisher estaba a un lado entonces cuando se fue la psicologa el me senalo con el dedo haciendo un sonido de tshhhh y me dijo sit y se rio de igual manera que se le hace a un perro para que se siente

 cada una de estas situaciones me hicieron sentir incomoda impotente sin saber que hacer o que decir con coraje con intentos vagos de quererme defender es muy facil decir que cuando te encuentres en una situacion de disgusto te defenderas pero realmente nunca lo habia vivido hasta ahora y el quedarme sin palabras y totalmente estupefacta ante las situaciones fue lo que predomino realmente deseo y espero que otra estudiante no viva esto mientras el este de coordinador siempre habra un peligro de abuso y mas si eres mujer no es la primera vez que se quejan de el en la organizacion ya hay multiples testimonios sobre el y su abuso el comentar todo esto con los otros psicologos de la clinica fue lo que hizo enterarme que no he sido la primera y se que no sere la ultima como estudiante nadie te prepara para enfrentar este tipo de situaciones y nadie merece vivirlas por favor hagan algo al respecto",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.821, NEG: 0.136, POS: 0.043})"
protraining,supervisora siempre viajando motivos trabajo dificulta practicas,la supervisora siempre esta viajando por motivos de trabajo y eso dificulta las practicas,neutral,"AnalyzerOutput(output=NEG, probas={NEG: 0.793, NEU: 0.201, POS: 0.006})"
boot camp amup ,ninguna,ninguna,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.327, POS: 0.175})"
congrego del estado de puebla,unica sugerencia esquematica asignen areas esten llenas practicantes pues reduce nivel puede integrar ciertas actividades,mi unica sugerencia esquematica se asignen areas en las que no esten llenas de practicantes pues reduce el nivel en el que un se puede integrar a ciertas actividades,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.886, POS: 0.083, NEG: 0.031})"
instituto poblano de asistencia al migrante,actividades si respetaron parte contrato aunque solo limitaron parte registro base datos hacer ediciones momentos atencion publico limitadas primer supervisor,las actividades si respetaron en parte el contrato aunque solo se limitaron a la parte de registro en la base de datos y hacer ediciones los momentos de atencion al publico fueron muy limitadas con mi primer supervisor,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.836, NEG: 0.112, POS: 0.052})"
bmw group,considero bmw group buena empresa embargo pequenos detalles empresa gustaron ejemplo hecho conservadores,considero que bmw group es una buena empresa sin embargo hay pequenos detalles sobre la empresa que no me gustaron  como por el ejemplo el hecho de que son muy conservadores,positive,"AnalyzerOutput(output=POS, probas={POS: 0.807, NEU: 0.180, NEG: 0.013})"
consulado honorario de francia en puebla,encanto ambiente contribuyo formacion laboral dio seguridad hablar gente hizo aprender tema intereso,me encanto el ambiente y contribuyo mucho a mi formacion laboral me dio seguridad para hablar con la gente y me hizo aprender sobre un tema que me intereso mucho ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.748, NEU: 0.233, NEG: 0.019})"
sre cdmx,secretaria gigante mala suerte quedar direccion general desorganizada transicion dgvosc experiencia tan buena aburri nunca hacer embargo octubre trabajar formalmente subsecretaria america latina caribe totalmente diferente contenta,la secretaria es gigante tuve la mala suerte de quedar en una direccion general que estaba muy desorganizada y en transicion dgvosc por lo que mi experiencia no fue tan buena me aburri mucho porque nunca tuve mucho que hacer sin embargo desde octubre entre a trabajar formalmente a la subsecretaria para america latina y el caribe y es totalmente diferente y estoy muy contenta ,neutral,"AnalyzerOutput(output=NEG, probas={NEG: 0.782, NEU: 0.208, POS: 0.010})"
cdh puebla,falta presupuesto material sido varios casos problema realizar actividades adecuadamente,la falta de presupuesto y material ha sido en varios casos un problema para realizar las actividades adecuadamente,neutral,"AnalyzerOutput(output=NEG, probas={NEG: 0.755, NEU: 0.228, POS: 0.017})"
boot camp amup ,experiencia diferente interesante convivencia estudiantes diferentes licenciaturas moderadores profesionales altamente especializados oportunidades generar soluciones puntuales problemas complejos entorno inmediato amplio bastante perspectiva limites capacidades toma decisiones,esto fue una experiencia diferente e interesante ya que la convivencia fue entre estudiantes de diferentes licenciaturas y con moderadores profesionales y altamente especializados hubo oportunidades de generar soluciones puntuales a problemas complejos de nuestro entorno inmediato por lo tanto se amplio bastante la perspectiva de los limites y capacidades entre la toma de decisiones,positive,"AnalyzerOutput(output=POS, probas={POS: 0.504, NEU: 0.474, NEG: 0.022})"
